Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Bangladesh,BGD,"School enrollment, secondary (% gross)",SE.SEC.ENRR,46.7210006713867,48.4609718322754,49.6199493408203,49.5259017944336,46.3084297180176,45.1695098876953,45.7007904052734,46.4658813476562,44.5729598999023,48.1255798339844,49.5031106793162,49.7515496494472,51.6718482971191,55.6214332189314,..,59.4217414855957,64.1664546117285,62.3408639225315,65.2714888764112,65.1185413488915,66.4329548486639,66.8282318620991,67.0384586440383,65.9856598598849
Barbados,BRB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,15914.0847570681,15865.5863558585,16133.0792881949,16706.5324853774,17298.8922582212,18449.8108853234,20076.4851303968,20949.3649138456,21375.9007659025,20323.6367022712,20032.5818570838,20316.2925356846,19605.0169248071,19032.4654071373,18594.9001828335,19185.5186407924,19175.570190422,18436.8050803186,19777.0593234662,19971.1185698717,16555.3622145235,17682.7314537483,22193.2487125789,23660.4047512929
Barbados,BRB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,107.564750671387,108.259826660156,107.798782348633,107.189636230469,108.061492919922,108.776031494141,107.878128051758,109.740669250488,110.919006347656,110.282241821289,107.682540893555,107.300071716309,..,..,108.186309814453,108.196029663086,108.310737609863,109.804237365723,108.216751098633,106.086326599121,104.318992614746,103.569473266602,104.222328186035,102.513702392578
Belarus,BLR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5795.65223573862,6238.09862372757,6697.15436193606,7361.72161071026,8482.92020698503,9636.89112385763,10994.5981291041,12320.0240264282,13886.1314072566,14034.1911204499,15339.0999035972,16563.2014078209,18114.7508606708,19014.0529737698,19037.8847440186,18133.5313085883,17832.4778855815,18413.747563367,20025.9815543598,22301.5932411839,24872.3066744528,27611.1801135157,28429.4948821827,30834.1773668111
Belarus,BLR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,115.713592529297,113.701538085938,111.028998547015,108.98986744867,107.657786407767,104.523124130077,103.510351178762,102.895731001158,102.969005936733,102.480850468241,101.596010989492,100.438744155791,100.575710351095,100.42063921059,99.0602032881737,97.4265999006565
Belgium,BEL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,27794.0511630862,28793.5142643594,30282.2886450283,30930.6283334744,32059.6878637798,33177.8909458158,35251.4450697593,36798.1918857259,37883.3319417819,37905.658312629,39839.9772772918,41244.8495035213,42483.5250666788,43864.1204196838,45147.6429534057,46071.914889496,48414.5518065681,50256.0631772784,52466.7330784599,56712.469571978,56120.0958420466,60669.2137746531,69128.1388883843,71946.1447190292
Belgium,BEL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,155.946166992188,157.648773193359,158.87922668457,151.638092041016,157.343399047852,158.685104370117,159.439895629883,160.468811035156,159.661544799805,160.66047668457,159.349304199219,160.110534667969,161.845886230469,162.421981811523,164.079818725586,160.689270019531,158.670288085938,156.509765625,156.635375976562,151.727508544922,143.163513183594,142.918075561523,142.960266113281
Belize,BLZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7543.73447178525,7851.62162856677,8153.66392623285,8849.64628939549,9244.91166156485,9466.1427445401,9909.68014440777,10225.986730898,9975.08124355363,9727.98868509362,9747.8256219459,9721.88084559988,9303.37857455225,9525.83089030578,9489.91221371385,9538.38691146009,9399.03567052789,9120.65338346029,9497.23480443418,10499.962073199,9638.89513695889,11716.3267818656,13461.2098451613,13729.892058721
Belize,BLZ,"School enrollment, secondary (% gross)",SE.SEC.ENRR,67.7030181884766,69.2901992797852,..,75.2354507446289,76.6425094604492,75.2656326293945,76.0926818847656,75.4892196655273,75.4095230102539,75.1112899780273,75.6223037349759,76.1272789038614,78.8095397154118,80.6694303700292,80.3583033664053,81.2936199454549,87.7313726328389,86.323893201399,86.2833561409511,87.4526596660355,86.1886596150512,88.8215546932903,87.4381668552162,83.619553808705
Benin,BEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1671.35725172854,1745.98256227696,1799.88269639499,1841.60297283874,1915.34644346381,1945.56414052296,2020.60567734722,2135.53787873721,2215.35163859542,2213.32895620809,2220.32854611489,2264.84186926384,2346.08416204547,2511.65309588333,2670.41561399187,2725.33724817144,2842.0246258376,2885.89383987721,2965.30628143664,3148.97969597838,3244.58772756805,3464.2886286745,3844.15415745816,4129.9661200142
